aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name
Hussain,GAFF6678,,Monthly,JUNE/06/22/1712,02-06-2022,KARNATAKA,Kuvempunagara ,"3,277.50","2,850.00",3251,02-06-2022,52,02-06-2022,KA 04 AC 5556,DC/2022-23/2176,,,Flexible,LDPE
Chand,GAFF6679,,Monthly,JUNE/06/22/1715,03-06-2022,KARNATAKA,Vidyaranyapura,"2,615.80","2,255.00",3256,03-06-2022,55,03-06-2022,KA 04 AB 9641,DC/2022-23/2179,,,Flexible,LDPE
Sha Nazeer,GAFF6680,,Monthly,JUNE/06/22/1718,04-06-2022,KARNATAKA, Thanisandra,"2,948.40","2,520.00",3262,04-06-2022,58,04-06-2022,KA 04 C 8758,DC/2022-23/2182,,,Flexible,LDPE
Iliyaz,GAFF6681,,Monthly,JUNE/06/22/1721,05-06-2022,KARNATAKA,Byatarayanapura,"2,997.20","2,540.00",3267,05-06-2022,63,05-06-2022,KA 05 AB 8195,DC/2022-23/2185,,,Flexible,LDPE
Baba Ali,GAFF6682,,Monthly,JUNE/06/22/1724,06-06-2022,KARNATAKA,Kodigehalli,"3,290.35","2,765.00",3273,06-06-2022,67,06-06-2022,KA  07 8150,DC/2022-23/2188,,,Flexible,LDPE
Arumugam,GAFF6683,,Monthly,JUNE/06/22/1727,07-06-2022,KARNATAKA,Jakkur,"3,228.00","2,690.00",3278,07-06-2022,71,07-06-2022,KA 02 AC 7135,DC/2022-23/2191,,,Flexible,LDPE
Hussain,GAFF6684,,Monthly,JUNE/06/22/1730,08-06-2022,KARNATAKA,Kuvempunagara ,"3,082.00","2,680.00",3284,08-06-2022,75,08-06-2022,KA 04 AB 7634,DC/2022-23/2194,,,Flexible,LDPE
Sha Nazeer,GAFF6685,,Monthly,JUNE/06/22/1733,09-06-2022,KARNATAKA,Thanisandra,"2,969.60","2,560.00",3289,09-06-2022,77,09-06-2022,KA 04 AC 5556,DC/2022-23/2197,,,Flexible,LDPE
Chand,GAFF6686,,Monthly,JUNE/06/22/1736,10-06-2022,KARNATAKA,Vidyaranyapura,"3,322.80","2,840.00",3295,10-06-2022,84,10-06-2022,KA  07 8150,DC/2022-23/2200,,,Flexible,LDPE
Hussain,GAFF6687,,Monthly,JUNE/06/22/1739,11-06-2022,KARNATAKA,Kuvempunagara ,"2,596.00","2,200.00",3300,11-06-2022,89,11-06-2022,KA 04 AB 7634,DC/2022-23/2203,,,Flexible,LDPE
Iliyaz,GAFF6688,,Monthly,JUNE/06/22/1742,12-06-2022,KARNATAKA,Byatarayanapura,"2,808.40","2,360.00",3306,12-06-2022,92,12-06-2022,KA 04 C 8758,DC/2022-23/2206,,,Flexible,LDPE
Hussain,GAFF6689,,Monthly,JUNE/06/22/1745,13-06-2022,KARNATAKA,Kuvempunagara ,"2,568.00","2,140.00",3311,13-06-2022,97,13-06-2022,KA 04 AB 9641,DC/2022-23/2209,,,Flexible,LDPE
Arumugam,GAFF6690,,Monthly,JUNE/06/22/1748,14-06-2022,KARNATAKA,Jakkur,"2,794.50","2,430.00",3317,14-06-2022,102,14-06-2022,KA 04 AB 7634,DC/2022-23/2212,,,Flexible,LDPE
Hussain,GAFF6691,,Monthly,JUNE/06/22/1751,15-06-2022,KARNATAKA,Kuvempunagara ,"3,097.20","2,670.00",3322,15-06-2022,108,15-06-2022,KA 51 A 8928,DC/2022-23/2215,,,Flexible,LDPE
Sha Nazeer,GAFF6692,,Monthly,JUNE/06/22/1754,16-06-2022,KARNATAKA,Thanisandra,"3,194.10","2,730.00",3328,16-06-2022,110,16-06-2022,KA 02 AC 7135,DC/2022-23/2218,,,Flexible,LDPE
Iliyaz,GAFF6693,,Monthly,JUNE/06/22/1757,17-06-2022,KARNATAKA,Byatarayanapura ,"2,560.60","2,170.00",3333,17-06-2022,115,17-06-2022,KA 05 AB 8195,DC/2022-23/2221,,,Flexible,LDPE
Baba Ali,GAFF6694,,Monthly,JUNE/06/22/1760,19-06-2022,KARNATAKA,Kodigehalli,"3,094.00","2,600.00",3339,19-06-2022,120,19-06-2022,KA 02 AC 7135,DC/2022-23/2224,,,Flexible,LDPE
