aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name
Radhika Agency,,,Monthly,14,12-04-2022,KARNATAKA,Dharwad,"11,210.00","11,160.00",63,12-04-2022,125438,15-04-2022,MH19CY5428,1114 6064 6928,,,Rigid,PET
Radhika Agency,,,Monthly,16,15-04-2022,KARNATAKA,Gokak,"11,670.00","11,620.00",733,15-02-2022,125644,17-04-2022,MH19CY7229,1114 6198 1617,,,Rigid,PET
Radhika Agency,,,Monthly,24,21-04-2022,KARNATAKA,Dharwad,"16,600.00","16,540.00",5571,21-04-2022,126887/ 126840,24-04-2022,MH19CY6720,1514 6456 0824,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,258,05-04-2022,KARNATAKA,Ballari,"15,790.00","15,840.00",5971,05-04-2022,124196/ 124223,07-04-2022,KA636032,1514 5750 6129,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,259,07-04-2022,KARNATAKA,Ballari,"16,030.00","16,020.00",76434,07-04-2022,124668/ 124812/ 124809,11-04-2022,KA635012 ,1914 5877 1489,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,260,11-04-2022,KARNATAKA,Ballari,"16,250.00","16,290.00",2184,11-04-2022,125244,14-04-2022,KA636722,1914 6024 6144,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,261,12-04-2022,KARNATAKA,Ballari,"16,090.00","16,060.00",76645/ 5936,12-04-2022,125414/ 125456,15-04-2022,KA25C7190,1514 6079 4782,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,266,22-04-2022,KARNATAKA,Ballari,"14,515.00","14,520.00",209/ 5369,22-04-2022,126850/ 126895,24-04-2022,KA636785,1514 6494 5427,,,Rigid,PET
Shree Rani Sati Plastics,,,Monthly,267,23-04-2022,KARNATAKA,Ballari,"15,410.00","15,430.00",7495/ 5370,23-04-2022,126963,25-04-2022,KA634942,1514 6541 8238,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 004,05-04-2022,KARNATAKA,Bengaluru,"14,920.00","14,860.00",5901,05-04-2022,124347,08-04-2022,HR61D3257,1314 5785 4514,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 005,06-04-2022,KARNATAKA,Bengaluru,"14,600.00","14,600.00",5921,06-04-2022,124642/ 124682,10-04-2022,PB13AR9657,1514 5830 6250,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 008,09-04-2022,KARNATAKA,Bengaluru,"15,980.00","15,860.00",6025,09-04-2022,126033,19-04-2022,HR61C1311,1614 5970 4737,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 010,11-04-2022,KARNATAKA,Bengaluru,"16,380.00","16,330.00",6041,10-04-2022,125242, 14-04-2022,PB13AR9658,1914 5990 7447,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 011,12-04-2022,KARNATAKA,Bengaluru,"14,870.00","14,820.00",6099,12-04-2022,125424,15-04-2022,RJ18GB3181,1214 6081 6610,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/APRIL/ 012,12-04-2022,KARNATAKA,Bengaluru,"15,060.00","15,020.00",6109,12-04-2022,125425,15-04-2022,RJ18GB4159,1514 6081 9647,,,Rigid,PET
Suraj Polymer,,,Monthly,SE/APRIL/ 018,23-04-2022,KARNATAKA,Bengaluru,"15,560.00","15,520.00",6426,23-04-2022,127106/ 127142,26-04-2022,HR55AB2906,1914 6550 8445,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/006/22-23,04-04-2022,KARNATAKA,Shimoga,"16,800.00","16,780.00",31597,04-04-2022,124260/ 124214,07-04-2022,KA636780,1514 5736 1346,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/007/22-23,05-04-2022,KARNATAKA,Bengaluru,"15,970.00","16,010.00",2688,05-04-2022,124224/ 124285,07-04-2022,KA636539,1814 5764 4329,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/010/22-23,06-04-2022,KARNATAKA,Bengaluru,"16,120.00","16,120.00",,06-04-2022,124382/124352,08-04-2022,KA636546,1114 5830 3316,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/011/22-23,06-04-2022,KARNATAKA,Bengaluru,"15,630.00","15,600.00",31807/ 31850,06-04-2022,124448/ 124461,06-04-2022,KA636776,1014 5830 3649,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/013/22-23,07-04-2022,KARNATAKA,Bengaluru,"16,350.00","16,310.00",13259,07-04-2022,124537/ 124565,09-04-2022,KA636635,1314 5876 0111,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/014/22-23,07-04-2022,KARNATAKA,Bengaluru,"16,490.00","16,470.00",71378,07-04-2022,124658,10-04-2022,KA636397,1914 5876 0771,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/026/22-23,12-04-2022,KARNATAKA,Mysuru,"17,270.00","17,240.00",39312,12-04-2022,125301/ 125481,15-04-2022,KA635967,1814 6056 5992,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/036/22-23,18-04-2022,KARNATAKA,Bengaluru,"17,475.00","17,390.00",40662,16-04-2022,126214/ 126339,21-04-2022,KA634947,1514 6312 9329,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/039/22-23,23-04-2022,KARNATAKA,Bengaluru,"17,380.00","17,000.00",13757,23-04-2022,127019/ 127129,26-04-2022,KA635107,1614 6515 5750,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/041/22-23,24-04-2022,KARNATAKA,Bengaluru,"16,940.00","16,860.00",72630,24-04-2022,127308/127448,28-04-2022,KA635186,1214 6561 6974,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/042/22-23,24-04-2022,KARNATAKA,Bengaluru,"17,150.00","17,150.00",20406,25-04-2022,127274/ 127195,27-04-2022,KA636724,1214 6565 4622,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/047/22-23,26-04-2022,KARNATAKA,Bengaluru,"17,400.00","17,370.00",3050/3080,27-04-2022,127470,28-04-2022,KA635159,1514 6665 3474,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/051/22-23,29-04-2022,KARNATAKA,Bengaluru,"16,660.00","16,460.00",14252,29-04-2022,127967,02-05-2022,KA636646,1614 6772 7841,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/053/22-23,30-04-2022,KARNATAKA,Bengaluru,"17,085.00","16,980.00",43375,30-04-2022,128124/ 128035,03-05-2022,KA635107,1714 6865 1865,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/054/22-23,30-04-2022,KARNATAKA,Bengaluru,"15,840.00","15,720.00", -,30-04-2022,128033/ 128122/ 128116,03-05-2022,KA635807,1814 6867 1585,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/055/22-23,30-04-2022,KARNATAKA,Bengaluru,"17,040.00","16,990.00",45741,30-04-2022,128118,04-05-2022,KA635972,1314 6867 6093,,,Rigid,PET
Usmaan Traders,,,Monthly,4,17-04-2022,KARNATAKA,Belagavi,"9,775.00","9,620.00",5204,17-04-2022,125883,18-04-2022,MH03CP9023,1414 6265 0702,,,Rigid,PET
Uzma Traders,,,Monthly,2153,12-04-2022,KARNATAKA,Davangere,"17,040.00","16,940.00",439,12-04-2022,125321/ 125453,15-04-2022,KA635092,1714 6081 9669,,,Rigid,PET
Uzma Traders,,,Monthly,2159,19-04-2022,KARNATAKA,Davangere,"17,130.00","16,890.00",28140,19-04-2022,126473,22-04-2022,KA25C7196,1714 6330 3172,,,Rigid,PET
Uzma Traders,,,Monthly,2164,21-04-2022,KARNATAKA,Davangere,"17,290.00","17,100.00",1084,21-04-2022,126832/ 126805,24-04-2022,KA636233,1814 6460 7373,,,Rigid,PET
Nikhar Enterprises,,,Monthly,10,19-05-2022,KARNATAKA,Kalaburagi,"14,115.00","13,930.00",4492,19-05-2022,131134,23-05-2022,TS07UG6058,1914 7607 5842,,,Rigid,PET
Radhika Agency,,,Monthly,31,04-05-2022,KARNATAKA,Dharwad,"16,510.00","16,460.00",9489,06-05-2022,128514/ 128472,04-05-2022,MH19CY6720,1914 6972 4670,,,Rigid,PET
Radhika Agency,,,Monthly,35,05-05-2022,KARNATAKA,Dharwad,"11,030.00","10,970.00",5939,05-05-2022,128766/ 128688,08-05-2022,MH19CY5428,1114 7028 0662,,,Rigid,PET
Radhika Agency,,,Monthly,36,05-05-2022,KARNATAKA,Dharwad,"11,320.00","11,320.00",5946,05-05-2022,128753/ 128687,08-05-2022,MH19CY7852,1314 7038 2034,,,Rigid,PET
Suhasini Enterprises,,,Monthly,SE/MAY/022,05-05-2022,KARNATAKA,Bengaluru,"16,490.00","16,470.00",6747,05-05-2022,128762,08-05-2022,HR843966,1914 7041 8254,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/058/22-23,03-05-2022,KARNATAKA,Bengaluru,"16,710.00","16,380.00",14581,03-05-2022,128484/ 128421,06-05-2022,KA635158,1014 6934 7326,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/061/22-23,06-05-2022,KARNATAKA,Bengaluru,"15,895.00","15,820.00",2278,05-05-2022,129030,10-05-2022,KA635094,1914 7052 0377,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/064/22-23,06-05-2022,KARNATAKA,Bengaluru,"17,490.00","17,410.00",9369,06-05-2022,129050/ 128922,10-05-2022,KA634951,1814 7086 0605,,,Rigid,PET
Suraj Polymer,,,Monthly,SP/065/22-23, 06-05-2022,KARNATAKA,Bengaluru,"17,890.00","17,710.00",353,06-05-2022,128940/ 128879,09-05-2022,KA635734,1814 7092 0040,,,Rigid,PET
Akshat Trading Corporation,,,Monthly,11,20-06-2022,KARNATAKA,Bidar,"15,810.00","16,140.00",7277,20-06-2022,135448/ 135408,23-06-2022,KA566094,1314 8922 4107,,,Rigid,PET
Akshat Trading Corporation,,,Monthly,12,21-06-2022,KARNATAKA,Hassan ,"16,480.00","16,430.00",47432,21-06-2022,135546,24-06-2022, KA636721 , 1614 8979 8177 ,,,Rigid,PET
Akshat Trading Corporation,,,Monthly,13,21-06-2022,KARNATAKA,Bidar,"17,095.00","17,060.00",7332,21-06-2022,135480,24-06-2022,KA566279,1314 8979 8871,,,Rigid,PET
Akshat Trading Corporation,,,Monthly,14,25-0622,KARNATAKA,Bidar,"15,345.00","15,520.00",7410,25-06-2022,136021,27-06-2022,KA565812,1414 9152 2568,,,Rigid,PET
Radhika Agency,,,Monthly,79,22-06-2022,KARNATAKA,Hubli,"10,520.00","10,520.00",7538,22-06-2022,135721,25-06-2022,MH19CY7852,1014 9006 4014,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/56,24-06-2022,KARNATAKA,Kalaburagi,"14,375.00","14,270.00",908,23-06-2022,136095,27-06-2022,AP29TA8482,1014 9115 5432,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/57,24-06-2022,KARNATAKA,Kalaburagi,"16,120.00","15,970.00",912,24-06-2022,136162,28-06-2022, KA565048 , 1714 9122 3772 ,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/58,24-06-2022,KARNATAKA,Kalaburagi,"16,065.00","15,970.00",913,24-06-2022,136112,28-06-2022,KA566106,1414 9122 4763,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/59,24-06-2022,KARNATAKA,Kalaburagi,"12,365.00","12,290.00",915,24-06-2022,136201,28-06-2022,MH46BF4881,1714 9123 9414,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/60,27-06-2022,KARNATAKA,Kalaburagi,"15,325.00","15,230.00",926,27-06-2022,136759/ 136630,01-07-2022,KA566300,1514 9230 9806,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/61,28-06-2022,KARNATAKA,Kalaburagi,"14,110.00","14,120.00",937,28-06-2022,136548,30-06-2022,TS15UC8094,1814 9284 2397,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/53,20-06-2022,KARNATAKA,Kalaburagi,"12,985.00","12,940.00",889,19-06-2022,135473/ 135439,23-06-2022,KA566041,1714 8922 9469,,,Rigid,PET
Sahara Polymer,,,Monthly,2022-23/54,20-06-2022,KARNATAKA,Kalaburagi,"12,505.00","12,450.00",890,19-06-2022,135465,24-06-2022,KA566105,1314 8923 1024,,,Rigid,PET
Shivangi Enterprises,,,Monthly,289,24-06-2022,KARNATAKA,KARNATAKA,"17,160.00","16,870.00",4029/ 4022,24-06-2022,135956,26-06-2022,KA635762,1014 9123 2409,,,Rigid,PET
